"";"X";"Beam";"src_fil";"int_build";"beam_pair";"l2b_quality_flag1";"PAI";"cover";"FHD";"pai_z1";"pai_z2";"pai_z3";"pai_z4";"pai_z5";"pai_z6";"pai_z7";"pai_z8";"pavd_z1";"pavd_z2";"pavd_z3";"pavd_z4";"pavd_z5";"pavd_z6";"pavd_z7";"pavd_z8";"cover_z1";"cover_z2";"cover_z3";"cover_z4";"cover_z5";"cover_z6";"cover_z7";"cover_z8";"is_bajo"
"1";1;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
"2";2;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
"3";3;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
"4";4;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
"5";5;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
"6";6;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
"7";7;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
"8";8;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;1,90050768852234;0,613306403160095;2,7421863079071;1,90050768852234;1,36372101306915;0,656891047954559;0,0629493221640587;0;0;0;0;0,107357338070869;0,124361664056778;0,130077168345451;0,0656891092658043;0,00629493268206716;0;0;0;0,613306403160095;0,494293868541718;0,279948890209198;0,03098439052701;0;0;0;0;0
"9";9;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;2,60111689567566;0,727543354034424;2,61845016479492;2,60111689567566;1,84049654006958;0,788414597511292;0;0;0;0;0;0,152124091982841;0,181270241737366;0,184049651026726;0,0788414552807808;0;0;0;0;0,727543354034424;0,601531445980072;0,325773328542709;0;0;0;0;0;0
"10";10;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;2,24296545982361;0,67413991689682;2,57205009460449;2,24296545982361;1,61081790924072;0,500107049942017;0,0208450350910425;0;0;0;0;0,126429513096809;0,174285843968391;0,158997282385826;0,0500107072293758;0,00208450364880264;0;0;0;0,67413991689682;0,553055047988892;0,221235439181328;0,0103683806955814;0;0;0;0;0
"11";11;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;2,52855062484741;0,717481732368469;2,48396182060242;2,52855062484741;1,82624816894531;0,446687042713165;0;0;0;0;0;0,14046049118042;0,208186358213425;0,182624816894531;0,0446687042713165;0;0;0;0;0,717481732368469;0,598683416843414;0,200155511498451;0;0;0;0;0;0
"12";12;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;1,6757527589798;0,567329466342926;2,22047400474548;1,6757527589798;0,778469920158386;0,0307556223124266;0;0;0;0;0;0,179456561803818;0,164499714970589;0,0778469890356064;0,00307556218467653;0;0;0;0;0,567329466342926;0,322412848472595;0,0152601525187492;0;0;0;0;0;0
"13";13;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;2,15476059913635;0,659453332424164;2,50557971000671;2,15476059913635;1,61640274524689;0,482955813407898;0;0;0;0;0;0,107671573758125;0,167180478572845;0,161640271544456;0,0482955798506737;0;0;0;0;0,659453332424164;0,554301023483276;0,21452870965004;0;0;0;0;0;0
"14";14;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;3,10699796676636;0,788398504257202;2,58458352088928;3,10699796676636;2,09532642364502;0,708502352237701;0;0;0;0;0;0,20233428478241;0,239849552512169;0,209532648324966;0,0708502307534218;0;0;0;0;0,788398504257202;0,649185478687286;0,298291057348251;0;0;0;0;0;0
"15";15;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;1,68196213245392;0,568670332431793;2,23386359214783;1,68196213245392;0,797873795032501;0,0413876064121723;0;0;0;0;0;0,176817670464516;0,164057448506355;0,0797873735427856;0,00413876073434949;0;0;0;0;0,568670332431793;0,328954309225082;0,0204811114817858;0;0;0;0;0;0
"16";16;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;1,95692658424377;0,624058842658997;2,37170481681824;1,95692658424377;1,15514957904816;0,127001851797104;0;0;0;0;0;0,160355418920517;0,182992473244667;0,1155149564147;0,0127001851797104;0;0;0;0;0,624058842658997;0,438718467950821;0,0615263506770134;0;0;0;0;0;0
"17";17;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;2,58486223220825;0,725321233272552;2,47316384315491;2,58486223220825;1,86705005168915;0,489445358514786;0;0;0;0;0;0,143562465906143;0,209541693329811;0,186705008149147;0,0489445365965366;0;0;0;0;0,725321233272552;0,606785178184509;0,217073112726212;0;0;0;0;0;0
"18";18;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;2,0769956111908;0,645956516265869;2,46078085899353;2,0769956111908;1,43581509590149;0,340570479631424;0;0;0;0;0;0,128236100077629;0,173642516136169;0,143581509590149;0,0340570472180843;0;0;0;0;0,645956516265869;0,512194752693176;0,156573116779327;0;0;0;0;0;0
"19";19;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;2,45859265327454;0,707429885864258;2,49019193649292;2,45859265327454;1,69782590866089;0,406679928302765;0;0;0;0;0;0,152153342962265;0,205191269516945;0,169782593846321;0,0406679958105087;0;0;0;0;0,707429885864258;0,572077095508575;0,183995500206947;0;0;0;0;0;0
"20";20;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;2,08688354492188;0,647701919078827;2,55176687240601;2,08688354492188;1,38370883464813;0,398625761270523;0;0;0;0;0;0,140634924173355;0,168825775384903;0,138370886445045;0,0398625768721104;0;0;0;0;0,647701919078827;0,499321639537811;0,180702894926071;0;0;0;0;0;0
"21";21;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;1,7375739812851;0,580495357513428;2,3526656627655;1,7375739812851;1,25775396823883;0,190450400114059;0;0;0;0;0;0,0959640070796013;0,154712364077568;0,125775396823883;0,0190450400114059;0;0;0;0;0,580495357513428;0,466782629489899;0,0908309519290924;0;0;0;0;0;0
"22";22;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;1,3834046125412;0,499245494604111;2,31063961982727;1,3834046125412;0,745092272758484;0,0823328867554665;0;0;0;0;0;0,127662464976311;0,130107164382935;0,0745092257857323;0,00823328830301762;0;0;0;0;0,499245494604111;0,311010926961899;0,0403304435312748;0;0;0;0;0;1
"23";23;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;2,42546272277832;0,702545583248138;2,5986053943634;2,42546272277832;1,69816815853119;0,529627978801727;0,00222533033229411;0;0;0;0;0,145458921790123;0,189583480358124;0,169594272971153;0,0529627986252308;0,000222533024498262;0;0;0;0,702545583248138;0,57215029001236;0,232645258307457;0,0011120461858809;0;0;0;0;0
"24";24;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;2,37705779075623;0,695262134075165;2,57384896278381;2,37705779075623;1,65049815177917;0,513344407081604;0;0;0;0;0;0,145311936736107;0,186371341347694;0,165049821138382;0,0513344407081604;0;0;0;0;0,695262134075165;0,561832845211029;0,226372510194778;0;0;0;0;0;0
"25";25;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;2,28961706161499;0,681649684906006;2,52597141265869;2,28961706161499;1,4281507730484;0,43718358874321;0;0;0;0;0;0,172293245792389;0,185243353247643;0,142815083265305;0,0437183603644371;0;0;0;0;0,681649684906006;0,510322213172913;0,196346029639244;0;0;0;0;0;0
"26";26;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;2,33061361312866;0,688106000423431;2,43252348899841;2,33061361312866;1,63330805301666;0,325384914875031;0;0;0;0;0;0,139461100101471;0,200522854924202;0,163330808281898;0,0325384922325611;0;0;0;0;0,688106000423431;0,558051526546478;0,150145038962364;0;0;0;0;0;0
"27";27;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;1,74075245857239;0,581161379814148;2,37667226791382;1,74075245857239;1,04582524299622;0,134471565485001;0;0;0;0;0;0,138985455036163;0,160628095269203;0,104582525789738;0,013447156175971;0;0;0;0;0,581161379814148;0,407188504934311;0,0650248229503632;0;0;0;0;0;0
"28";28;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;1,30973923206329;0,480461269617081;2,12281322479248;1,30973923206329;0,719205319881439;0,00429271394386888;0;0;0;0;0;0,118106782436371;0,130544647574425;0,0719205290079117;0,000429271400207654;0;0;0;0;0,480461269617081;0,302035868167877;0,00214405474252999;0;0;0;0;0;1
"29";29;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;2,41245579719543;0,700605750083923;2,50678539276123;2,41245579719543;1,68759715557098;0,379316180944443;0;0;0;0;0;0,144971743226051;0,20331397652626;0,168759718537331;0,0379316173493862;0;0;0;0;0,700605750083923;0,569883525371552;0,172754794359207;0;0;0;0;0;0
"30";30;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;2,01085066795349;0,634056091308594;2,40350723266602;2,01085066795349;1,32635486125946;0,251032203435898;0;0;0;0;0;0,136899158358574;0,175981849431992;0,132635489106178;0,0251032207161188;0;0;0;0;0,634056091308594;0,484758794307709;0,117956943809986;0;0;0;0;0;0
"31";31;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
"32";32;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;1,54939305782318;0,539118826389313;2,26977300643921;1,54939305782318;0,865368068218231;0,0516032762825489;0;0;0;0;0;0,13680499792099;0,149778977036476;0,0865368098020554;0,00516032753512263;0;0;0;0;0,539118826389313;0,351220011711121;0,0254715532064438;0;0;0;0;0;0
"33";33;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;1,4268285036087;0,509998440742493;2,27535653114319;1,4268285036087;0,771845281124115;0,0221444554626942;0;0;0;0;0;0,130996629595757;0,140468403697014;0,0771845281124115;0,00221444549970329;0;0;0;0;0,509998440742493;0,320164948701859;0,0110111432150006;0;0;0;0;0;0
"34";34;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;1,62988638877869;0,557294964790344;2,33696961402893;1,62988638877869;0,998925268650055;0,0876707956194878;0;0;0;0;0;0,126192227005959;0,154221564531326;0,0998925268650055;0,00876707956194878;0;0;0;0;0,557294964790344;0,393124729394913;0,0428883209824562;0;0;0;0;0;1
"35";35;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;1,5618200302124;0,541972935199738;2,34836316108704;1,5618200302124;0,945763289928436;0,0933812782168388;0;0;0;0;0;0,123211346566677;0,146843880414963;0,0945763289928436;0,00933812744915485;0;0;0;0;0,541972935199738;0,37677925825119;0,0456171818077564;0;0;0;0;0;0
"36";36;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;1,73846113681793;0,580681383609772;2,42741751670837;1,73846113681793;1,12632131576538;0,211706280708313;0;0;0;0;0;0,122427977621555;0,152675494551659;0,112632125616074;0,0211706273257732;0;0;0;0;0,580681383609772;0,430570811033249;0,100442171096802;0;0;0;0;0;0
"37";37;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;1,80109906196594;0,59360671043396;2,51283693313599;1,80109906196594;1,15981340408325;0,283683210611343;0;0;0;0;0;0,128257125616074;0,151741579174995;0,115981340408325;0,0283683221787214;0;0;0;0;0,59360671043396;0,440025597810745;0,132239416241646;0;0;0;0;0;0
"38";38;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;1,62896692752838;0,557091474533081;2,65634632110596;1,62896692752838;1,07294690608978;0,415838241577148;0,0212771017104387;0;0;0;0;0,111204005777836;0,121312871575356;0,105166986584663;0,0415838249027729;0,00212771026417613;0;0;0;0,557091474533081;0,415172100067139;0,187723383307457;0,0105821499601007;0;0;0;0;0
"39";39;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;1,39742469787598;0,502742826938629;2,57493376731873;1,39742469787598;1,08551287651062;0,380228579044342;0;0;0;0;0;0,0623823702335358;0,101719610393047;0,108551286160946;0,0380228571593761;0;0;0;0;0,502742826938629;0,418834507465363;0,173132091760635;0;0;0;0;0;0
"40";40;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;1;1,69096672534943;0,570607364177704;2,57972097396851;1,69096672534943;1,28166794776917;0,445389628410339;0;0;0;0;0;0,08185975253582;0,124557703733444;0,128166794776917;0,044538963586092;0;0;0;0;0,570607364177704;0,473119169473648;0,199636518955231;0;0;0;0;0;0
"41";41;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;1,70915687084198;0,574493944644928;2,52882051467896;1,70915687084198;1,23134016990662;0,386406153440475;0;0;0;0;0;0,0955633297562599;0,132275074720383;0,123134016990662;0,0386406145989895;0;0;0;0;0,574493944644928;0,459695041179657;0,175682052969933;0;0;0;0;0;0
"42";42;"BEAM0000";"GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5";0;0;0;1,72511565685272;0,577874779701233;2,5734281539917;1,72511565685272;1,26685655117035;0,435866355895996;0;0;0;0;0;0,0916518270969391;0,128924936056137;0,12668564915657;0,0435866340994835;0;0;0;0;0,577874779701233;0,469203501939774;0,195816576480865;0;0;0;0;0;0
