;X;Beam;src_fil;int_build;beam_pair;l2b_quality_flag1;PAI;cover;FHD;pai_z1;pai_z2;pai_z3;pai_z4;pai_z5;pai_z6;pai_z7;pai_z8;pavd_z1;pavd_z2;pavd_z3;pavd_z4;pavd_z5;pavd_z6;pavd_z7;pavd_z8;cover_z1;cover_z2;cover_z3;cover_z4;cover_z5;cover_z6;cover_z7;cover_z8;is_bajo
1;160;BEAM0000;GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5;0;1;1;1,44207561;0,513718963;2,738392353;1,44207561;1,098766446;0,552342892;0,069834955;0;0;0;0;0,068661831;0,088973269;0,102893151;0,055234291;0,006983495;0;0;0;0,513718963;0,422672451;0,241310596;0,034314774;0;0;0;0;0
2;161;BEAM0000;GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5;2;1;0;2,054713488;0,641991556;2,615887403;2,054713488;1,452960134;0,551767111;0;0;0;0;0;0,120350689;0,150294647;0,145296007;0,055176713;0;0;0;0;0,641991556;0,51635766;0,24109216;0;0;0;0;0;0
3;169;BEAM0000;GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5;0;2;0;1,83362174;0,600159824;2,616858482;1,83362174;1,323408246;0,506407201;0;0;0;0;0;0,102042712;0,132721454;0,132340819;0,050640721;0;0;0;0;0,600159824;0,483999282;0,223684594;0;0;0;0;0;0
4;170;BEAM0000;GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5;2;2;0;2,239637375;0,673597455;2,753846169;2,239637375;1,805695057;0,911195636;0,125515968;0;0;0;0;0,086788453;0,13284418;0,168017909;0,091119565;0,012551596;0;0;0;0,673597455;0,594539285;0,365915298;0,060828868;0;0;0;0;0
5;254;BEAM0000;GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5;0;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
6;255;BEAM0000;GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5;2;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
7;278;BEAM0000;GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5;2;4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
8;280;BEAM0000;GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5;0;4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
9;281;BEAM0000;GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5;2;5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
10;282;BEAM0000;GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5;0;5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
11;284;BEAM0000;GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5;0;6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
12;285;BEAM0000;GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5;2;6;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
13;509;BEAM0001;GEDI02_A_2019161153045_O02792_T00413_02_001_01.h5;2;7;0;1,302640438;0,478612512;2,328183651;1,302640438;0,828059494;0,031670377;0;0;0;0;0;0,094916195;0,127097011;0,082805946;0,003167038;0;0;0;0;0,478612512;0,339004397;0,015710443;0;0;0;0;0;0
